image index	predicted index	target index	correct	path	path probability	path length	number backtracks
20	5	7	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.990416407585144, 0.9867150187492371, 0.7833192348480225, 0.6255319118499756]	5	0
21	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9998586177825928, 0.9999467134475708, 0.9999853372573853]	4	0
22	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9979851245880127, 0.9785560369491577, 0.989482045173645, 0.9987614154815674]	5	0
23	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
24	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999998807907104, 0.9998134970664978, 0.9914903044700623]	5	0
25	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999995231628418, 0.9999901056289673]	3	0
26	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999521970748901, 0.9999669790267944, 0.9999384880065918, 0.9999536275863647]	5	0
27	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
28	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999998807907104]	4	0
29	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999953508377075, 1.0]	3	0
30	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999980926513672, 0.9999995231628418]	3	0
31	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999998807907104, 1.0, 1.0]	5	0
32	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9994916915893555, 0.9999616146087646, 0.9994045495986938, 0.9997767806053162]	5	0
33	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999966621398926, 0.9978271126747131, 0.9983699917793274, 0.9997575879096985]	5	0
34	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
35	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9994797110557556, 0.9972225427627563]	3	0
36	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 0.9999998807907104, 0.9779515266418457]	5	0
37	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 0.9999985694885254, 0.6986100077629089]	4	0
38	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999998807907104, 1.0, 1.0]	4	0
39	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
40	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999964237213135, 1.0, 1.0]	5	0
41	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999995231628418, 1.0]	3	0
42	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999974966049194, 0.9999997615814209, 0.9999958276748657, 0.9999996423721313]	5	0
43	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
44	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
45	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
46	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9996870756149292, 0.9999760389328003, 0.9999885559082031]	5	0
47	8	9	FALSE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999980926513672, 0.8277856707572937, 0.662959635257721]	4	0
48	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
49	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.999545156955719, 0.9186251163482666]	3	0
50	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
51	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999977350234985, 0.9999997615814209, 1.0]	4	0
52	2	0	FALSE	['n00003553', 'n01471682', 'n01503061']	[0.9714572429656982, 0.5366132259368896]	3	0
53	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999998807907104, 0.9999980926513672, 0.9999998807907104, 0.9999728202819824]	5	0
54	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
55	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
56	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 0.9999996423721313, 0.9999998807907104, 0.9999998807907104]	5	0
57	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999991655349731, 0.9999704360961914, 0.9926224946975708, 0.9993342757225037]	5	0
58	7	4	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999927282333374, 0.9999963045120239, 0.5819995999336243, 0.8551208972930908]	5	0
59	3	6	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999228715896606, 0.9868096113204956, 0.9980473518371582, 0.988447368144989]	5	0
60	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
61	5	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999998807907104, 1.0, 0.6911723017692566]	5	0
62	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.999993085861206, 0.9999992847442627]	3	0
63	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999954700469971, 0.9997724890708923, 0.9999850988388062, 0.9995630383491516]	5	0
64	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 0.9999995231628418]	3	0
65	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
66	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 0.8798825740814209, 0.9958011507987976]	4	0
67	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9991114735603333, 0.9960517287254333]	3	0
68	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9661203026771545, 0.9956439733505249, 0.9985546469688416, 0.9992221593856812]	5	0
69	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999327659606934, 0.9999148845672607, 0.9999799728393555, 0.999224066734314]	5	0
70	2	2	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n01886756', 'n01471682', 'n01503061']	[0.958306074142456, 0.6960492134094238, 0.7256641387939453, 0.7256641387939453, 0.7256641387939453, 0.21579743921756744]	7	1
71	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
72	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
73	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999994039535522, 0.9999996423721313, 0.9999998807907104]	4	0
74	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999959468841553, 0.9897224307060242, 0.9971991777420044]	4	0
75	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
76	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999988079071045, 0.9999860525131226, 0.9999963045120239]	4	0
77	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999995231628418, 1.0, 1.0, 1.0]	5	0
78	5	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999996423721313, 0.9999949932098389, 0.9951381087303162, 0.983393132686615]	5	0
79	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 1.0, 0.9999997615814209]	4	0
80	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9999998807907104, 1.0]	4	0
81	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999872446060181, 0.9999237060546875, 0.9971990585327148]	4	0
82	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999933242797852, 0.9999997615814209, 1.0]	4	0
83	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999998807907104, 0.9999991655349731, 1.0, 1.0]	5	0
84	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999980926513672, 0.999998927116394]	3	0
85	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9996875524520874, 0.999919056892395, 0.9996583461761475, 0.9999250173568726]	5	0
86	3	2	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9998732805252075, 0.9608020782470703, 0.990545392036438, 0.9967490434646606]	5	0
87	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9997377991676331, 0.999812662601471, 0.9987207055091858, 0.9966312050819397]	5	0
88	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
89	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 0.9999979734420776, 0.9999998807907104]	4	0
90	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 0.999996542930603, 0.9999998807907104]	4	0
91	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999994039535522, 0.9992910623550415, 0.9999485015869141, 0.9999576807022095]	5	0
92	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 0.9999995231628418, 1.0]	4	0
93	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
94	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999998807907104, 1.0, 0.9999940395355225, 0.999895453453064]	5	0
95	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.999991774559021, 0.48937496542930603]	3	0
96	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999994039535522, 0.9999988079071045]	3	0
97	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9997854828834534, 0.9999064207077026, 0.9995551705360413]	4	0
98	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
99	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
100	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 1.0, 1.0]	5	0
101	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999991655349731, 0.9999645948410034, 0.9991714954376221, 0.997802197933197]	5	0
102	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
103	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9448352456092834, 0.997105062007904, 0.9998958110809326]	5	0
104	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999998807907104, 1.0, 0.9999994039535522]	4	0
105	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999878406524658, 0.9999995231628418, 0.9999991655349731]	4	0
106	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999978542327881, 0.9999325275421143, 0.9999938011169434, 0.9999624490737915]	5	0
107	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 1.0]	3	0
108	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9999997615814209, 1.0]	4	0
109	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
110	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999998807907104, 0.9999866485595703, 0.9999305009841919, 0.9996356964111328]	5	0
111	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999994039535522, 0.9999996423721313, 0.9999974966049194]	4	0
112	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9998205304145813, 0.9983181953430176]	3	0
113	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 0.9999998807907104]	3	0
114	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 0.9999979734420776, 0.9999991655349731]	4	0
115	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999998807907104, 1.0, 1.0]	5	0
116	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999997615814209, 1.0, 0.9999961853027344]	4	0
117	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9101204872131348, 0.9776636362075806, 0.9982043504714966, 0.9996053576469421]	5	0
118	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999988079071045, 0.9930521249771118]	3	0
119	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999947547912598, 0.9999887943267822, 0.9999890327453613, 0.9999961853027344]	5	0
120	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 0.9999998807907104, 1.0]	4	0
121	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.997740626335144, 0.999672532081604, 0.9999456405639648, 0.9995471835136414]	5	0
122	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999996423721313, 1.0, 0.9999994039535522]	4	0
123	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
124	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999996423721313, 0.9999246597290039, 0.9999897480010986]	4	0
125	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9927565455436707, 0.9907021522521973, 0.9553586840629578]	4	0
126	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999995231628418, 0.9999958276748657, 0.9999996423721313]	4	0
127	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999963045120239, 0.9981550574302673, 0.9995217323303223, 0.999893307685852]	5	0
128	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999682903289795, 0.9991586208343506, 0.999561607837677, 0.5345404744148254]	5	0
129	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9043181538581848, 0.9856227040290833]	3	0
130	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999910593032837, 0.9999997615814209, 1.0]	5	0
131	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
132	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
133	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
134	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9804213643074036, 0.8343815803527832, 0.5479770302772522]	4	0
135	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999985694885254, 1.0]	3	0
136	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999998807907104, 1.0, 1.0]	4	0
137	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9992733597755432, 0.9982518553733826, 0.9996578693389893, 0.999991774559021]	5	0
138	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 0.9999998807907104]	3	0
139	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999994039535522, 0.9666687250137329, 0.9930928945541382]	4	0
140	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999997615814209]	3	0
141	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
142	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.999998927116394, 0.9999994039535522]	3	0
143	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999996423721313, 0.999996542930603, 0.9985703229904175, 0.9998966455459595]	5	0
144	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999997615814209, 1.0, 0.999998927116394]	4	0
145	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9997560381889343, 0.9998741149902344, 0.999276340007782, 0.9997591376304626]	5	0
146	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
147	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.999995231628418, 0.5507254600524902]	3	0
148	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999412298202515, 0.9999947547912598, 0.9978148937225342, 0.9995643496513367]	5	0
149	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9988349080085754, 0.9995286464691162]	3	0
150	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999995231628418, 0.9999997615814209, 0.9999990463256836]	4	0
151	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999998807907104, 1.0, 0.9999959468841553]	4	0
152	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999368190765381, 0.9999951124191284]	3	0
153	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.999954104423523, 0.999990701675415, 0.9999982118606567]	4	0
154	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999984502792358, 0.9999995231628418, 0.9999997615814209]	4	0
155	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999992847442627, 0.9999902248382568, 0.9999992847442627, 0.999983549118042]	5	0
156	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999994039535522, 0.9967442750930786]	3	0
157	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
158	3	5	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999977350234985, 0.9999995231628418, 0.9890535473823547]	5	0
159	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 1.0, 1.0]	5	0
160	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.999946117401123, 0.9999756813049316]	3	0
161	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999959468841553, 0.9999998807907104, 1.0]	4	0
162	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999520778656006, 0.9593249559402466]	3	0
163	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999990463256836]	3	0
164	0	8	FALSE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999852180480957, 0.9999622106552124, 0.9778227210044861]	4	0
165	2	4	FALSE	['n00003553', 'n01471682', 'n01503061']	[1.0, 0.9688387513160706]	3	0
166	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999978542327881, 0.9999990463256836, 0.9999916553497314]	4	0
167	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999886751174927, 1.0, 1.0]	5	0
168	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999595880508423, 0.9999921321868896, 0.9999988079071045, 1.0]	5	0
169	8	0	FALSE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9997995495796204, 0.7399523258209229, 0.49568137526512146]	4	0
170	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
171	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9980556964874268, 0.8633171916007996, 0.8482892513275146]	4	0
172	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
173	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999555349349976, 0.9998538494110107, 0.9999499320983887]	4	0
174	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 0.9999762773513794, 0.9996708631515503]	4	0
175	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
176	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999988079071045, 0.9998377561569214, 0.9997527003288269, 0.9999574422836304]	5	0
177	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
178	3	5	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999724626541138, 0.9999972581863403, 0.9994446635246277]	5	0
179	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 0.9999998807907104]	4	0
180	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9997382760047913, 0.9997404217720032, 0.9999160766601562]	4	0
181	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
182	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
183	6	2	FALSE	['n00003553', 'n01471682', 'n01639765']	[0.9982421398162842, 0.8804743885993958]	3	0
184	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999420642852783, 0.9990702271461487, 0.999933123588562, 0.9999971389770508]	5	0
185	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
186	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 1.0]	3	0
187	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999996423721313, 0.9999980926513672, 0.9999998807907104, 1.0]	5	0
188	2	4	FALSE	['n00003553', 'n01471682', 'n01503061']	[1.0, 0.994333028793335]	3	0
189	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999808073043823, 0.9998766183853149, 0.9524835348129272]	4	0
190	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999964237213135, 0.9980819225311279, 0.9993020296096802, 0.9999822378158569]	5	0
191	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.8796378374099731, 0.9311346411705017, 0.9931771755218506]	4	0
192	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.8223944902420044, 0.9198084473609924, 0.9242820143699646]	4	0
193	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999986886978149, 0.9999749660491943, 0.9997192025184631]	4	0
194	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 0.9999998807907104]	5	0
195	7	2	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 0.972681999206543, 0.9864424467086792, 0.8557201027870178]	5	0
196	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
