Index	GT Class	Pred Class	Path	Path Probs	Num Nodes Explored	Node Backtracks
56	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
57	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.9926, 0.9993]	4	{}
58	4	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.582, 0.8551]	4	{}
59	6	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9999, 0.9868, 0.998, 0.9884]	4	{}
60	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
61	3	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 0.6912]	4	{}
62	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
63	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9998, 1.0, 0.9996]	4	{}
64	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
65	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
66	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 0.8799, 0.9958]	3	{}
67	2	2	['n00003553', 'n01471682']	[0.9991, 0.9961]	2	{}
68	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9661, 0.9956, 0.9986, 0.9992]	4	{}
69	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9999, 0.9999, 1.0, 0.9992]	4	{}
70	2	2	['n00003553', 'n01471682']	[0.9583, 0.2158]	4	{'n02075296': 1, 'n01886756': 1}
71	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
72	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
73	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
74	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.9897, 0.9972]	3	{}
75	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
76	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
77	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
78	3	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 0.9951, 0.9834]	4	{}
79	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
80	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
81	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 0.9999, 0.9972]	3	{}
82	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
83	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
84	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
85	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9997, 0.9999, 0.9997, 0.9999]	4	{}
86	2	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9999, 0.9608, 0.9905, 0.9967]	4	{}
87	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9997, 0.9998, 0.9987, 0.9966]	4	{}
88	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
89	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
90	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
91	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9993, 0.9999, 1.0]	4	{}
92	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
93	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
94	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 0.9999]	4	{}
95	6	6	['n00003553', 'n01471682']	[1.0, 0.4894]	2	{}
96	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
97	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9998, 0.9999, 0.9996]	3	{}
98	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
99	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
100	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
101	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 0.9992, 0.9978]	4	{}
102	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
103	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9448, 0.9971, 0.9999]	4	{}
104	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
105	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
106	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9999, 1.0, 1.0]	4	{}
107	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
108	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
109	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
110	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.9999, 0.9996]	4	{}
111	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
112	6	6	['n00003553', 'n01471682']	[0.9998, 0.9983]	2	{}
113	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
114	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
115	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
116	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
117	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9101, 0.9777, 0.9982, 0.9996]	4	{}
118	2	2	['n00003553', 'n01471682']	[1.0, 0.9931]	2	{}
119	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
120	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
121	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9977, 0.9997, 0.9999, 0.9995]	4	{}
122	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
123	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
124	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.9999, 1.0]	3	{}
125	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9928, 0.9907, 0.9554]	3	{}
126	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
127	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9982, 0.9995, 0.9999]	4	{}
128	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9992, 0.9996, 0.5345]	4	{}
129	2	2	['n00003553', 'n01471682']	[0.9043, 0.9856]	2	{}
130	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
131	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
132	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
133	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
134	1	1	['n00003553', 'n03575240', 'n03791235']	[0.9804, 0.8344, 0.548]	3	{}
135	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
136	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
137	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9993, 0.9983, 0.9997, 1.0]	4	{}
138	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
139	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 0.9667, 0.9931]	3	{}
140	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
141	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
142	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
143	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 0.9986, 0.9999]	4	{}
144	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
145	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9998, 0.9999, 0.9993, 0.9998]	4	{}
146	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
147	2	2	['n00003553', 'n01471682']	[1.0, 0.5507]	2	{}
148	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9999, 1.0, 0.9978, 0.9996]	4	{}
149	2	2	['n00003553', 'n01471682']	[0.9988, 0.9995]	2	{}
150	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
151	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
152	6	6	['n00003553', 'n01471682']	[0.9999, 1.0]	2	{}
153	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
154	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
155	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
156	2	2	['n00003553', 'n01471682']	[1.0, 0.9967]	2	{}
157	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
158	5	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 0.9891]	4	{}
159	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
160	2	2	['n00003553', 'n01471682']	[0.9999, 1.0]	2	{}
161	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
162	6	6	['n00003553', 'n01471682']	[1.0, 0.9593]	2	{}
163	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
164	8	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 0.9778]	3	{}
165	4	2	['n00003553', 'n01471682']	[1.0, 0.9688]	2	{}
166	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
167	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
168	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
169	0	8	['n00003553', 'n03575240', 'n03125870']	[0.9998, 0.74, 0.4957]	3	{}
170	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
171	9	9	['n00003553', 'n03575240', 'n03791235']	[0.9981, 0.8633, 0.8483]	3	{}
172	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
173	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.9999, 0.9999]	3	{}
174	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.9997]	3	{}
175	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
176	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9998, 0.9998, 1.0]	4	{}
177	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
178	5	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 0.9994]	4	{}
179	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
180	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9997, 0.9997, 0.9999]	3	{}
181	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
182	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
183	2	6	['n00003553', 'n01471682']	[0.9982, 0.8805]	2	{}
184	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[0.9999, 0.9991, 0.9999, 1.0]	4	{}
185	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
186	6	6	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
187	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
188	4	2	['n00003553', 'n01471682']	[1.0, 0.9943]	2	{}
189	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.9999, 0.9525]	3	{}
190	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9981, 0.9993, 1.0]	4	{}
191	8	8	['n00003553', 'n03575240', 'n03125870']	[0.8796, 0.9311, 0.9932]	3	{}
192	0	0	['n00003553', 'n03575240', 'n03125870']	[0.8224, 0.9198, 0.9243]	3	{}
193	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.9997]	3	{}
194	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
195	2	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 0.9727, 0.9864, 0.8557]	4	{}
196	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
197	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9986, 0.9998, 1.0]	3	{}
198	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
199	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
200	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
201	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 0.9826, 0.9657]	3	{}
202	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
203	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9946, 0.999, 0.9999, 0.9999]	4	{}
204	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
205	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
206	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9975, 0.9991, 0.9996]	3	{}
207	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
208	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
209	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
210	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 0.9998]	4	{}
211	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.346, 0.8845, 0.9965, 0.9986]	6	{'n03125870': 1, 'n03575240': 1}
212	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
213	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 0.9976, 0.999]	3	{}
214	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9829, 0.9775, 0.9059]	3	{}
215	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9938, 0.9977, 0.9994]	3	{}
216	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
217	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
218	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9997, 0.9999, 1.0]	3	{}
219	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
220	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
221	6	6	['n00003553', 'n01471682']	[1.0, 0.9815]	2	{}
222	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
223	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.9988, 0.9998]	4	{}
224	3	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.6303, 0.9725]	4	{}
225	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.9998]	3	{}
226	6	0	['n00003553', 'n03575240', 'n03125870']	[0.698, 0.6038, 0.6145]	3	{}
227	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
228	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 0.8353, 0.988]	4	{}
229	6	6	['n00003553', 'n01471682']	[1.0, 0.9884]	2	{}
230	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
231	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
232	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 0.8696]	4	{}
233	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9999, 0.9999, 1.0]	3	{}
234	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
235	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
236	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
237	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9965, 0.7029, 0.773]	3	{}
238	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
239	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
240	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
241	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
242	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 0.9836, 0.9947]	3	{}
243	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
244	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
245	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 0.9995, 0.9999, 1.0]	4	{}
246	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
247	9	9	['n00003553', 'n03575240', 'n03791235']	[0.9999, 0.993, 0.9981]	3	{}
248	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
249	2	2	['n00003553', 'n01471682']	[0.9999, 0.9999]	2	{}
250	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
251	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
252	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
253	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
254	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[0.9998, 0.9986, 0.9996, 0.9907]	4	{}
255	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9985, 0.9996, 0.9912]	3	{}
256	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
257	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
258	0	0	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 0.9949]	3	{}
259	9	9	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 0.933]	3	{}
260	8	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 1.0]	3	{}
261	1	1	['n00003553', 'n03575240', 'n03791235']	[1.0, 1.0, 1.0]	3	{}
262	5	5	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 1.0]	4	{}
263	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 0.9993, 0.9999, 1.0]	4	{}
264	0	8	['n00003553', 'n03575240', 'n03125870']	[1.0, 1.0, 0.723]	3	{}
265	8	8	['n00003553', 'n03575240', 'n03125870']	[0.9292, 0.9762, 0.9984]	3	{}
266	2	2	['n00003553', 'n01471682']	[0.9972, 0.9949]	2	{}
267	4	4	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
268	7	7	['n00003553', 'n01471682', 'n01886756', 'n02370806']	[1.0, 1.0, 1.0, 1.0]	4	{}
269	0	0	['n00003553', 'n03575240', 'n03125870']	[0.9965, 0.9991, 0.9999]	3	{}
270	2	2	['n00003553', 'n01471682']	[1.0, 1.0]	2	{}
271	3	3	['n00003553', 'n01471682', 'n01886756', 'n02075296']	[1.0, 1.0, 1.0, 0.996]	4	{}
