Index	GT Class	Pred Class	Path	Path Probs	Num Nodes Explored	Node Backtracks
30	20	20	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725', 'n04161981']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 1.0]	8	{}
31	61	22	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 1.0, 1.0, 0.9999, 0.9679, 0.9941, 0.9981]	7	{}
32	41	41	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240']	[1.0, 0.9998, 0.9993, 0.9825, 0.994, 0.998]	6	{}
33	93	73	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053', 'n01482071']	[0.9999, 0.9987, 0.9983, 0.9997, 0.9993, 0.9486, 0.9901, 0.8605, 0.8851]	9	{}
34	56	56	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 0.9997, 1.0, 1.0, 0.9893, 0.9999, 1.0, 1.0]	8	{}
35	73	65	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.9996, 0.9999, 0.9868, 0.9967, 0.8678, 0.8944, 0.6778, 0.7592]	9	{}
36	58	58	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211', 'n04170037', 'n03791235']	[1.0, 1.0, 1.0, 0.9998, 0.9999, 0.8988, 0.9743, 0.9878, 0.9707, 0.9939]	10	{}
37	11	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 1.0, 0.9429]	3	{}
38	25	25	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725', 'n04161981']	[0.9986, 0.9965, 0.9976, 0.6245, 0.9504, 0.97, 0.9928, 0.9989]	8	{}
39	37	37	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686', 'n02913152']	[1.0, 1.0, 1.0, 1.0, 0.9998, 0.9983, 1.0]	7	{}
40	63	63	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02329401']	[1.0, 0.9855, 0.9945, 0.9974, 0.9975, 0.9956, 0.9957, 0.9243, 0.998, 1.0]	10	{}
41	24	24	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661', 'n01767661', 'n02159955']	[1.0, 0.9997, 0.9999, 0.9848, 0.9965, 0.9743, 0.9918, 0.998, 1.0]	9	{}
42	49	49	['n00001740', 'n00001930', 'n00002684']	[1.0, 0.993, 0.9138]	3	{}
43	73	30	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053', 'n02552171']	[1.0, 1.0, 1.0, 0.9935, 0.9979, 0.9991, 0.9999, 1.0, 1.0]	9	{}
44	56	56	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	8	{}
45	22	22	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 1.0, 1.0, 1.0, 0.694, 0.9998, 0.9998]	7	{}
46	41	41	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240']	[1.0, 1.0, 0.9999, 0.9985, 0.9997, 0.9982]	6	{}
47	58	58	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211', 'n04170037', 'n03791235']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9998, 0.9922, 0.9987, 1.0, 1.0]	10	{}
48	75	64	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01874434']	[0.988, 0.9677, 0.955, 0.9867, 0.9878, 0.9575, 0.9698, 0.7567, 0.5279]	9	{}
49	17	17	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686']	[1.0, 0.9997, 0.9998, 0.7883, 0.7457, 0.7757]	6	{}
50	4	46	['n00001740', 'n00001930', 'n00007846', 'n09605289']	[1.0, 0.6311, 0.9986, 0.6836]	4	{}
51	6	45	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661', 'n01767661', 'n01976146']	[0.9969, 0.9736, 0.9809, 0.9754, 0.9743, 0.9878, 0.9969, 0.786, 0.9661]	9	{}
52	9	9	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04531098']	[1.0, 1.0, 1.0, 0.9993, 0.9998, 1.0, 1.0, 1.0]	8	{}
53	57	57	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 0.9979, 0.9924, 0.998, 1.0]	5	{}
54	2	2	['n00001740', 'n00001930', 'n00007846']	[1.0, 1.0, 1.0]	3	{}
55	32	32	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053', 'n02552171']	[1.0, 0.1437, 0.8921, 0.9538, 0.9909, 0.9955, 0.9454, 0.9811, 0.9972]	10	{'n00007846': 1}
56	71	71	['n00001740', 'n00001930']	[1.0, 1.0]	2	{}
57	52	52	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 1.0, 1.0, 0.9999, 1.0, 1.0, 1.0, 1.0]	8	{}
58	42	42	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	11	{}
59	69	71	['n00001740', 'n00001930']	[1.0, 0.0031]	10	{'n01861778': 1, 'n02512053': 1, 'n01471682': 1, 'n00015388': 1, 'n00004475': 1, 'n00021939': 1, 'n00003553': 1, 'n00002684': 1}
60	77	77	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661']	[1.0, 0.9959, 0.9932, 0.9971, 0.9969, 0.9894, 0.9772]	7	{}
61	27	91	['n00001740', 'n00001930', 'n00020827']	[0.9992, 0.693, 0.6291]	3	{}
62	15	19	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02394477']	[1.0, 0.998, 0.998, 0.9973, 0.9044, 0.9659, 0.9951, 0.9718, 0.9742, 0.9004]	10	{}
63	65	44	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01661091', 'n01661818']	[0.892, 0.7277, 0.9378, 0.9671, 0.9798, 0.8936, 0.5001, 0.7489, 0.8192]	9	{}
64	7	62	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n11669921']	[1.0, 1.0, 1.0, 0.9707, 0.9439, 0.8971, 0.9471]	7	{}
65	35	98	['n00001740', 'n00001930', 'n00007846', 'n09605289']	[1.0, 0.999, 0.9998, 0.9998]	4	{}
66	43	43	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[1.0, 0.9862, 0.9977, 0.9616, 0.9943, 0.9991, 0.9997, 0.9999, 0.9939, 0.9997, 0.9999]	11	{}
67	82	62	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n11669921']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.8641]	7	{}
68	63	63	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02329401']	[1.0, 1.0, 1.0, 0.9983, 0.9997, 0.9977, 0.9989, 0.9998, 1.0, 1.0]	10	{}
69	92	-1	['n00001740']	[]	6	{'n00002684': 1, 'n00007846': 1, 'n00020827': 1, 'n00001930': 1, 'n00002137': 1}
70	66	66	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296']	[1.0, 0.998, 0.9991, 0.8396, 0.944, 0.9842, 0.9908, 0.969, 0.8363, 1.0]	10	{}
71	90	90	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03100490', 'n04019101']	[0.9988, 0.993, 0.981, 0.9646, 0.9661, 0.9774, 0.9889, 0.6863]	8	{}
72	67	23	['n00001740', 'n00001930']	[1.0, 0.0112]	6	{'n00007846': 1, 'n00021939': 1, 'n00003553': 1, 'n00002684': 1}
73	91	91	['n00001740', 'n00001930', 'n00020827']	[1.0, 0.9994, 0.9999]	3	{}
74	32	76	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686', 'n02913152']	[1.0, 0.9998, 0.9751, 0.944, 0.9026, 0.9754, 0.9977]	7	{}
75	32	32	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053', 'n02552171']	[1.0, 0.8589, 0.9326, 0.9578, 0.8863, 0.8809, 1.0, 1.0, 1.0]	9	{}
76	82	82	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n11669921']	[1.0, 1.0, 1.0, 1.0, 0.9995, 1.0, 1.0]	7	{}
77	10	10	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04531098']	[1.0, 0.9996, 0.9997, 1.0, 1.0, 0.9996, 0.9873, 1.0]	8	{}
78	77	77	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661']	[1.0, 0.9416, 0.7967, 0.6104, 0.5382, 0.9927, 0.9999]	7	{}
79	22	40	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 1.0, 1.0, 0.9949, 0.7446, 0.6121, 0.6343]	7	{}
80	71	71	['n00001740', 'n00001930']	[1.0, 1.0]	2	{}
81	78	78	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01661091', 'n01661818']	[1.0, 1.0, 1.0, 0.9853, 0.9969, 0.9825, 0.9999, 0.9999, 0.9998]	9	{}
82	54	54	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n11669921']	[1.0, 1.0, 1.0, 0.9986, 1.0, 1.0, 1.0]	7	{}
83	6	6	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661', 'n01767661', 'n02159955']	[1.0, 1.0, 1.0, 0.9999, 1.0, 0.9998, 1.0, 0.9996, 0.9979]	9	{}
84	29	29	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01661091', 'n01661818']	[1.0, 0.9985, 0.9908, 0.9949, 0.9894, 0.9501, 0.8912, 0.9773, 0.9822]	9	{}
85	89	89	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211', 'n04170037']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9981, 1.0, 1.0, 1.0]	9	{}
86	78	99	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661']	[1.0, 0.9998, 0.9993, 0.9995, 0.9999, 0.999, 1.0]	7	{}
87	33	33	['n00001740', 'n00002137']	[0.7245, 0.9021]	2	{}
88	11	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 1.0, 0.6269]	3	{}
89	67	67	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053', 'n01482071']	[1.0, 0.9998, 0.9997, 0.9988, 0.996, 0.9958, 0.948, 0.9995, 0.7731]	9	{}
90	22	22	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03183080']	[1.0, 0.9999, 1.0, 0.9999, 0.7065, 0.9995, 1.0]	7	{}
91	18	18	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388']	[1.0, 0.9994, 0.9939, 0.9406, 0.9793, 0.9998]	6	{}
92	27	-1	['n00001740']	[]	8	{'n00004475': 1, 'n00021939': 1, 'n00003553': 1, 'n00002684': 1, 'n00020827': 1, 'n00001930': 1, 'n00002137': 1}
93	21	21	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.6872, 0.7715, 0.7985, 0.9732, 0.9969, 0.9982, 0.9979, 1.0]	9	{}
94	13	13	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03100490', 'n04019101']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9979, 1.0, 0.9999]	8	{}
95	21	21	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.8556, 0.7947, 0.8041, 0.9468, 0.9768, 0.9868, 0.9839, 0.7049]	9	{}
96	50	50	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02329401']	[1.0, 0.7924, 0.8862, 0.9705, 0.991, 0.9785, 0.9509, 0.8807, 0.8952, 0.9216]	10	{}
97	75	75	['n00001740', 'n00002137']	[0.9998, 1.0]	2	{}
98	37	37	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686', 'n02913152']	[1.0, 1.0, 1.0, 1.0, 0.9998, 0.9993, 0.9991]	7	{}
99	35	84	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725']	[1.0, 0.9903, 0.9803, 0.6551, 0.785, 0.1672, 0.5639]	8	{'n03094503': 1}
100	26	79	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01905661', 'n01767661']	[0.9998, 0.9983, 0.9904, 0.9941, 0.9629, 0.9981, 0.9874, 0.693]	8	{}
101	83	53	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 1.0, 1.0, 0.9517, 0.6891]	5	{}
102	47	52	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 0.9996, 0.9999, 0.9992, 0.9919, 0.9815, 0.9924, 0.8807]	8	{}
103	95	86	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240']	[1.0, 0.9828, 0.9989, 0.9152, 0.9503, 0.8941]	6	{}
104	43	43	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[1.0, 0.9988, 0.9875, 0.9961, 0.9974, 0.9984, 0.9956, 0.9784, 0.998, 0.9989, 1.0]	11	{}
105	69	69	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03100490']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	7	{}
106	76	76	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686', 'n02913152']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	7	{}
107	17	17	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n04341686']	[1.0, 0.9999, 0.9938, 1.0, 1.0, 0.9991]	6	{}
108	57	57	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 0.9998, 0.9995, 0.9485, 0.4587]	5	{}
109	59	59	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 0.9998, 0.9976, 0.9988, 1.0, 1.0, 1.0, 0.9925]	8	{}
110	25	25	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725', 'n04161981']	[1.0, 1.0, 0.9999, 0.9999, 0.9919, 0.9999, 0.9993, 0.9945]	8	{}
111	20	20	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725', 'n04161981']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	8	{}
112	27	23	['n00001740', 'n00001930']	[1.0, 0.0002]	4	{'n00020827': 1, 'n00002684': 1}
113	0	57	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 0.9999, 0.9974, 0.9981, 0.9862]	5	{}
114	9	9	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04531098']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9995, 1.0, 1.0]	8	{}
115	71	71	['n00001740', 'n00001930']	[1.0, 0.9565]	2	{}
116	8	8	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9969, 1.0, 0.9981]	8	{}
117	43	43	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[1.0, 0.9984, 0.9981, 0.9996, 0.9999, 1.0, 1.0, 0.9992, 0.9998, 1.0, 1.0]	11	{}
118	57	57	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n07705931']	[1.0, 0.9998, 0.9986, 0.9985, 0.9893]	5	{}
119	56	56	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	8	{}
120	85	85	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503', 'n04576211', 'n04170037']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9742, 0.9978, 0.9998, 1.0]	9	{}
121	10	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 0.9943, 0.3604]	4	{'n09605289': 1}
122	19	38	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01874434']	[1.0, 0.9999, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6973, 0.9612]	9	{}
123	92	70	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13112664']	[1.0, 1.0, 0.9992, 0.9984, 0.9998, 0.7174, 0.9965, 0.9971]	8	{}
124	33	33	['n00001740', 'n00002137']	[1.0, 1.0]	2	{}
125	20	84	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03405725']	[1.0, 1.0, 1.0, 0.9999, 1.0, 1.0, 0.1099]	8	{'n04161981': 1}
126	21	21	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.9979, 0.9966, 0.9988, 0.9993, 0.9958, 0.9984, 0.9987, 0.9833]	9	{}
127	50	42	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756', 'n02075296', 'n02127808']	[0.9999, 0.9909, 0.9685, 0.969, 0.9826, 0.9954, 0.7055, 0.9754, 0.8664, 0.9465, 0.5808]	11	{}
128	70	70	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13112664']	[1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 1.0, 1.0]	8	{}
129	46	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 1.0, 0.6527]	3	{}
130	11	16	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503']	[1.0, 0.9975, 0.9951, 0.9996, 0.9995, 0.07, 0.8633]	9	{'n03100490': 1, 'n03405725': 1}
131	16	16	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00021939', 'n03575240', 'n03094503']	[1.0, 0.9998, 1.0, 1.0, 0.996, 0.9956, 1.0]	7	{}
132	1	1	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n02512053']	[1.0, 0.9122, 0.9743, 0.7335, 0.7973, 0.4673, 0.9723, 0.9997]	8	{}
133	74	74	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n00015388', 'n01471682', 'n01861778', 'n01886756']	[1.0, 0.9571, 0.9912, 0.9968, 0.9989, 0.9998, 0.9995, 0.9994, 0.9621]	9	{}
134	33	-1	['n00001740']	[]	5	{'n00002684': 1, 'n00007846': 1, 'n00001930': 1, 'n00002137': 1}
135	91	91	['n00001740', 'n00001930', 'n00020827']	[1.0, 1.0, 1.0]	3	{}
136	60	60	['n00001740', 'n00001930', 'n00002684']	[1.0, 0.9997, 1.0]	3	{}
137	64	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 0.9974, 0.9578]	3	{}
138	52	52	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999]	8	{}
139	23	23	['n00001740', 'n00001930']	[1.0, 1.0]	2	{}
140	4	4	['n00001740', 'n00001930', 'n00020827']	[1.0, 0.9913, 0.9985]	3	{}
141	11	11	['n00001740', 'n00001930', 'n00007846']	[1.0, 1.0, 0.9143]	3	{}
142	52	52	['n00001740', 'n00001930', 'n00002684', 'n00003553', 'n00004475', 'n13083586', 'n13103136', 'n13104059']	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9885]	8	{}
